,value
296,"First of all I would like to thank our host, Governor Mersch, and the staff of the Banque centrale du Luxembourg, for the invitation and for the generous hospitality offered to us."
297,"At today's meeting, the Governing Council continued its comprehensive examination of monetary, financial and economic developments and assessed new evidence that has become available over the past few weeks."
298,"Today, the Governing Council continued its in-depth examination of monetary, financial and economic developments, incorporating in its assessment the new evidence that has become available over recent weeks."
299,"We have reviewed monetary, financial and economic developments and updated our assessment in the light of the information available."
300,"We continued our in-depth assessment of monetary, financial and economic developments and the discussions we had in early November on the appropriate stance of monetary policy, taking account of the new information."
301,"We have reviewed monetary, financial and economic developments and updated our assessment in light of the new information available."
302,"We have reviewed monetary, financial and economic developments and have incorporated new information into our assessment."
303,"We have comprehensively reviewed monetary, financial and economic developments today."
304,"Let me therefore thank both Governor Fazio for his invitation and generous hospitality, and the staff of the Banca d'Italia for an excellently organised meeting. 
"
305,The first news I can report is that today we successfully concluded our discussions of the ECB's monetary policy strategy.
306,"Following a comprehensive economic and monetary analysis, we have concluded that the outlook for price stability over the medium term has improved significantly since our last decision to lower interest rates in March."
307,"Following our regular economic and monetary analysis, we have concluded that the current monetary policy stance is appropriate in view of the favourable outlook for price stability over the medium term."
308,Today the Governing Council decided to leave the key ECB interest rates unchanged.
309,"I would like to thank both Governor Constâncio for his invitation and generous hospitality, as well as the staff of the Banco de Portugal for an excellently organised meeting. 
"
310,"I am delighted to now proceed with our well-established practice of real-time communication and to report on the outcome of our meeting, together with the Vice-President. 
"
311,"Following a comprehensive economic and monetary analysis, we concluded that the monetary policy stance remains appropriate to preserve price stability over the medium term."
312,Let me express the Vice-President’s and my own best wishes to you all for the New Year.
313,"The Vice-President and I will now report on the outcome of today’s meeting of the Governing Council of the ECB. 
"
314,"The Vice-President and I will now report on the outcome of today's meeting of the Governing Council of the ECB. 
"
315,"Before I proceed, I would like to remind you that I have conveyed the Governing Council’s sincere condolences to Jaime Caruana, Governor of the Banco de España, following the terrorist attacks in Madrid on 11 March 2004."
316,"I would like to thank acting Governor Matti Louekoski for his invitation and very kind hospitality, as well as the staff of Suomen Pankki – Finlands Bank for a perfectly organised meeting."
317,"However, I should first like to inform you about some decisions we have taken regarding the publication of staff macroeconomic projections. 
"
318,"On the basis of the regular economic and monetary analyses, we have confirmed our assessment of last month."
319,We noted that the information which has become available in recent months indicates that the economic recovery in the euro area has maintained its momentum and should remain firm in the coming quarters.
320,"Today’s meeting is the tenth time that the Governing Council has met outside Frankfurt, and I would like to thank Governor Quaden for his invitation."
321,"Persistently high and rising oil prices have had a visible direct impact on consumer prices this year, and inflation is likely to remain significantly above 2% in the coming months."
322,"All in all, the short-term outlook for inflation remains worrisome, but our assessment of price developments over the medium term is unchanged."
323,"Let me also take this opportunity to say that all our thoughts are with the victims of the recent flood disaster and with their families in the countries concerned and around the world.
"
324,"The Vice-President and I will now report on the outcome of today’s meeting of the Governing Council of the ECB.
"
325,"The Vice‑President and I will now report on the outcome of today’s meeting of the Governing Council of the ECB, which was also attended by Prime Minister Juncker and Commissioner Almunia.
"
